Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Base Constraint,Family and Type,Length,Structural Material,Top Constraint,Type,Width
615 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",10' - 3",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
328 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",5' - 8 17/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
302 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",5' - 0 13/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
299 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",4' - 11 3/4",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
579 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",10' - 0",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
2405 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",40' - 3 31/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
535 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",9' - 2",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
85 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',1' - 5",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
478 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",7' - 9 11/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
174 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",3' - 1 13/16",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
89 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",1' - 8 3/4",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
2565 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",42' - 6",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
75 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",1' - 3",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
88 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 4",1' - 8 19/32",Clad - White,Up to level: Level 5,EXT W - 4",0' - 4"
